query_id,document_id,crowd_rel_binary
677,269,0
439,553,1
307,1375,1
363,1401,1
310,2521,0
330,2935,0
414,3060,0
330,3551,0
397,4050,1
443,4422,1
345,4517,1
307,5062,1
347,5116,1
408,6243,1
442,8634,1
354,9862,1
363,13261,0
307,13335,1
439,13671,1
436,14454,1
436,14873,1
435,15338,1
341,15619,1
325,16127,0
325,16519,0
445,17233,1
347,20833,1
310,23405,0
439,24735,1
394,25652,1
419,27967,1
355,28217,0
341,29197,1
614,30074,1
347,30859,1
389,31766,1
435,32035,1
347,32106,1
389,32852,0
427,33429,1
397,34512,1
307,35583,1
646,37337,0
356,38010,1
355,38588,0
436,38635,1
389,39291,0
436,39908,1
397,39916,1
397,40158,1
367,40183,0
355,40481,0
325,40955,0
399,42455,0
436,42499,1
321,43424,0
367,43629,0
436,44169,1
397,44702,1
433,44891,0
408,45838,0
436,46187,1
394,46775,0
347,48307,1
423,48336,0
353,48665,1
436,48678,1
321,48725,1
397,49918,1
310,50003,0
353,50350,1
354,50415,1
435,51237,1
330,51367,1
442,51758,1
389,51810,1
336,52133,0
347,52138,0
363,52721,1
350,53304,0
389,53786,0
347,54033,1
345,54760,1
433,56083,0
389,56609,1
408,57239,1
408,57432,1
389,58470,1
399,59192,1
350,59288,1
399,59321,1
363,59676,0
389,60661,1
426,62193,0
443,62819,0
426,63909,0
436,63981,1
439,64094,0
399,66945,0
442,67089,1
350,67271,0
389,67644,1
321,67696,0
330,68028,0
367,68102,1
646,68881,0
321,68988,0
355,69453,0
414,70712,0
389,71722,1
400,71875,1
442,72066,1
614,72127,0
397,73110,1
393,73152,0
397,73786,1
435,74911,0
345,77134,0
400,78119,1
626,79150,1
353,79615,1
336,80786,0
433,81115,1
393,81314,0
408,82122,1
427,82399,1
436,82495,1
408,84228,1
436,84653,1
321,84739,0
393,84973,0
443,85242,1
408,85609,0
353,88083,1
677,88633,1
347,88690,0
399,89039,1
353,89070,1
397,89202,0
378,89409,0
399,89524,0
442,90223,1
690,90300,0
620,92686,1
414,92797,0
436,96700,0
397,96858,1
408,97037,1
363,97080,1
690,97992,1
436,98010,1
389,99058,1
363,99585,1
442,99968,1
397,100506,1
626,100763,0
414,102375,1
397,102784,1
379,103307,0
690,103357,1
